"License_Id";"Start_Date";"Expiry_Date"
"lic136";"0000-00-00";"0000-00-00"
"lic137";"0000-00-00";"0000-00-00"
"lic138";"0000-00-00";"0000-00-00"
"lic139";"0000-00-00";"0000-00-00"
"lic14";"0000-00-00";"0000-00-00"
"lic140";"0000-00-00";"0000-00-00"
"lic141";"0000-00-00";"0000-00-00"
"lic142";"0000-00-00";"0000-00-00"
"lic143";"0000-00-00";"0000-00-00"
"lic144";"0000-00-00";"0000-00-00"
"lic145";"0000-00-00";"0000-00-00"
"lic146";"0000-00-00";"0000-00-00"
"lic147";"0000-00-00";"0000-00-00"
"lic148";"0000-00-00";"0000-00-00"
"lic149";"0000-00-00";"0000-00-00"
"lic15";"0000-00-00";"0000-00-00"
"lic150";"0000-00-00";"0000-00-00"
"lic16";"0000-00-00";"0000-00-00"
"lic17";"0000-00-00";"0000-00-00"
"lic18";"0000-00-00";"0000-00-00"
"lic19";"0000-00-00";"0000-00-00"
"lic2";"0000-00-00";"0000-00-00"
"lic20";"0000-00-00";"0000-00-00"
"lic21";"0000-00-00";"0000-00-00"
"lic22";"0000-00-00";"0000-00-00"
"lic23";"0000-00-00";"0000-00-00"
"lic24";"0000-00-00";"0000-00-00"
"lic25";"0000-00-00";"0000-00-00"
"lic26";"0000-00-00";"0000-00-00"
"lic27";"0000-00-00";"0000-00-00"
"lic28";"0000-00-00";"0000-00-00"
"lic29";"0000-00-00";"0000-00-00"
"lic3";"0000-00-00";"0000-00-00"
"lic30";"0000-00-00";"0000-00-00"
"lic31";"0000-00-00";"0000-00-00"
"lic32";"0000-00-00";"0000-00-00"
"lic33";"0000-00-00";"0000-00-00"
"lic34";"0000-00-00";"0000-00-00"
"lic35";"0000-00-00";"0000-00-00"
"lic36";"0000-00-00";"0000-00-00"
"lic37";"0000-00-00";"0000-00-00"
"lic38";"0000-00-00";"0000-00-00"
"lic39";"0000-00-00";"0000-00-00"
"lic4";"0000-00-00";"0000-00-00"
"lic40";"0000-00-00";"0000-00-00"
"lic41";"0000-00-00";"0000-00-00"
"lic42";"0000-00-00";"0000-00-00"
"lic43";"0000-00-00";"0000-00-00"
"lic44";"0000-00-00";"0000-00-00"
"lic45";"0000-00-00";"0000-00-00"
"lic46";"0000-00-00";"0000-00-00"
"lic47";"0000-00-00";"0000-00-00"
"lic48";"0000-00-00";"0000-00-00"
"lic49";"0000-00-00";"0000-00-00"
"lic5";"0000-00-00";"0000-00-00"
"lic50";"0000-00-00";"0000-00-00"
"lic51";"0000-00-00";"0000-00-00"
"lic52";"0000-00-00";"0000-00-00"
"lic53";"0000-00-00";"0000-00-00"
"lic54";"0000-00-00";"0000-00-00"
"lic55";"0000-00-00";"0000-00-00"
"lic56";"0000-00-00";"0000-00-00"
"lic57";"0000-00-00";"0000-00-00"
"lic58";"0000-00-00";"0000-00-00"
"lic59";"0000-00-00";"0000-00-00"
"lic6";"0000-00-00";"0000-00-00"
"lic60";"0000-00-00";"0000-00-00"
"lic61";"0000-00-00";"0000-00-00"
"lic62";"0000-00-00";"0000-00-00"
"lic63";"0000-00-00";"0000-00-00"
"lic64";"0000-00-00";"0000-00-00"
"lic65";"0000-00-00";"0000-00-00"
"lic66";"0000-00-00";"0000-00-00"
"lic67";"0000-00-00";"0000-00-00"
"lic68";"0000-00-00";"0000-00-00"
"lic69";"0000-00-00";"0000-00-00"
"lic7";"0000-00-00";"0000-00-00"
"lic70";"0000-00-00";"0000-00-00"
"lic71";"0000-00-00";"0000-00-00"
"lic72";"0000-00-00";"0000-00-00"
"lic73";"0000-00-00";"0000-00-00"
"lic74";"0000-00-00";"0000-00-00"
"lic75";"0000-00-00";"0000-00-00"
"lic76";"0000-00-00";"0000-00-00"
"lic77";"0000-00-00";"0000-00-00"
"lic78";"0000-00-00";"0000-00-00"
"lic79";"0000-00-00";"0000-00-00"
"lic8";"0000-00-00";"0000-00-00"
"lic80";"0000-00-00";"0000-00-00"
"lic81";"0000-00-00";"0000-00-00"
"lic82";"0000-00-00";"0000-00-00"
"lic83";"0000-00-00";"0000-00-00"
"lic84";"0000-00-00";"0000-00-00"
"lic85";"0000-00-00";"0000-00-00"
"lic86";"0000-00-00";"0000-00-00"
"lic87";"0000-00-00";"0000-00-00"
"lic88";"0000-00-00";"0000-00-00"
"lic89";"0000-00-00";"0000-00-00"
"lic9";"0000-00-00";"0000-00-00"
"lic90";"0000-00-00";"0000-00-00"
"lic91";"0000-00-00";"0000-00-00"
"lic92";"0000-00-00";"0000-00-00"
"lic93";"0000-00-00";"0000-00-00"
"lic94";"0000-00-00";"0000-00-00"
"lic95";"0000-00-00";"0000-00-00"
"lic96";"0000-00-00";"0000-00-00"
"lic97";"0000-00-00";"0000-00-00"
"lic98";"0000-00-00";"0000-00-00"
"lic99";"0000-00-00";"0000-00-00"
