"Shop_Id";"Name";"ShopKpr_Id";"Location";"PrdSer";"License_Id"
"shop32";"shopname32";"skid59";"Admin Block";"Groceries";"lic32"
"shop33";"shopname33";"skid64";"Sports Complex";"Stationary";"lic33"
"shop34";"shopname34";"skid4";"Sports Complex";"Snacks";"lic34"
"shop35";"shopname35";"skid46";"HostelArea";"Snacks";"lic35"
"shop36";"shopname36";"skid29";"Sports Complex";"Snacks";"lic36"
"shop37";"shopname37";"skid82";"Sports Complex";"Repair";"lic37"
"shop38";"shopname38";"skid41";"HostelArea";"Stationary";"lic38"
"shop39";"shopname39";"skid95";"Admin Block";"Snacks";"lic39"
"shop4";"shopname4";"skid16";"Admin Block";"Groceries";"lic4"
"shop40";"shopname40";"skid77";"Faculty Quarters";"Snacks";"lic40"
"shop41";"shopname41";"skid23";"HostelArea";"Stationary";"lic41"
"shop42";"shopname42";"skid87";"Admin Block";"Repair";"lic42"
"shop43";"shopname43";"skid48";"Admin Block";"Groceries";"lic43"
"shop44";"shopname44";"skid100";"Sports Complex";"Repair";"lic44"
"shop45";"shopname45";"skid5";"Sports Complex";"Snacks";"lic45"
"shop46";"shopname46";"skid80";"Faculty Quarters";"Snacks";"lic46"
"shop47";"shopname47";"skid73";"HostelArea";"Groceries";"lic47"
"shop48";"shopname48";"skid34";"Sports Complex";"Repair";"lic48"
"shop49";"shopname49";"skid62";"Admin Block";"Repair";"lic49"
"shop5";"shopname5";"skid55";"Faculty Quarters";"Stationary";"lic5"
"shop50";"shopname50";"skid72";"Admin Block";"Groceries";"lic50"
"shop51";"shopname51";"skid36";"Faculty Quarters";"Stationary";"lic51"
"shop52";"shopname52";"skid75";"Faculty Quarters";"Repair";"lic52"
"shop53";"shopname53";"skid32";"Sports Complex";"Stationary";"lic53"
"shop54";"shopname54";"skid47";"Admin Block";"Snacks";"lic54"
"shop55";"shopname55";"skid56";"Sports Complex";"Snacks";"lic55"
"shop56";"shopname56";"skid40";"Faculty Quarters";"Snacks";"lic56"
"shop57";"shopname57";"skid22";"HostelArea";"Snacks";"lic57"
"shop58";"shopname58";"skid7";"HostelArea";"Groceries";"lic58"
"shop59";"shopname59";"skid18";"Faculty Quarters";"Groceries";"lic59"
"shop6";"shopname6";"skid45";"HostelArea";"Stationary";"lic6"
"shop60";"shopname60";"skid74";"Sports Complex";"Groceries";"lic60"
"shop61";"shopname61";"skid90";"HostelArea";"Groceries";"lic61"
"shop62";"shopname62";"skid93";"Faculty Quarters";"Repair";"lic62"
"shop63";"shopname63";"skid26";"HostelArea";"Stationary";"lic63"
"shop64";"shopname64";"skid57";"HostelArea";"Snacks";"lic64"
"shop65";"shopname65";"skid92";"Faculty Quarters";"Snacks";"lic65"
"shop66";"shopname66";"skid30";"Faculty Quarters";"Snacks";"lic66"
"shop67";"shopname67";"skid50";"HostelArea";"Groceries";"lic67"
"shop68";"shopname68";"skid42";"Sports Complex";"Snacks";"lic68"
"shop69";"shopname69";"skid44";"HostelArea";"Repair";"lic69"
"shop7";"shopname7";"skid99";"Sports Complex";"Snacks";"lic7"
"shop70";"shopname70";"skid66";"Faculty Quarters";"Stationary";"lic70"
"shop71";"shopname71";"skid85";"Sports Complex";"Groceries";"lic71"
"shop72";"shopname72";"skid24";"Faculty Quarters";"Snacks";"lic72"
"shop73";"shopname73";"skid71";"HostelArea";"Stationary";"lic73"
"shop74";"shopname74";"skid78";"HostelArea";"Stationary";"lic74"
"shop75";"shopname75";"skid13";"Faculty Quarters";"Groceries";"lic75"
"shop76";"shopname76";"skid27";"HostelArea";"Repair";"lic76"
"shop77";"shopname77";"skid21";"HostelArea";"Repair";"lic77"
"shop78";"shopname78";"skid67";"HostelArea";"Stationary";"lic78"
"shop79";"shopname79";"skid35";"Faculty Quarters";"Stationary";"lic79"
"shop8";"shopname8";"skid14";"Admin Block";"Repair";"lic8"
"shop80";"shopname80";"skid96";"Faculty Quarters";"Groceries";"lic80"
"shop81";"shopname81";"skid79";"Faculty Quarters";"Snacks";"lic81"
"shop82";"shopname82";"skid31";"Admin Block";"Groceries";"lic82"
"shop83";"shopname83";"skid86";"Sports Complex";"Snacks";"lic83"
"shop84";"shopname84";"skid39";"Faculty Quarters";"Stationary";"lic84"
"shop85";"shopname85";"skid83";"HostelArea";"Stationary";"lic85"
"shop86";"shopname86";"skid17";"Admin Block";"Snacks";"lic86"
"shop87";"shopname87";"skid1";"Admin Block";"Snacks";"lic87"
"shop88";"shopname88";"skid60";"Admin Block";"Stationary";"lic88"
"shop89";"shopname89";"skid19";"Admin Block";"Groceries";"lic89"
"shop9";"shopname9";"skid94";"Admin Block";"Repair";"lic9"
"shop90";"shopname90";"skid58";"HostelArea";"Repair";"lic90"
"shop91";"shopname91";"skid98";"HostelArea";"Repair";"lic91"
"shop92";"shopname92";"skid25";"Faculty Quarters";"Snacks";"lic92"
"shop93";"shopname93";"skid20";"Faculty Quarters";"Groceries";"lic93"
"shop94";"shopname94";"skid38";"Admin Block";"Repair";"lic94"
"shop95";"shopname95";"skid49";"Sports Complex";"Repair";"lic95"
"shop96";"shopname96";"skid89";"Admin Block";"Snacks";"lic96"
"shop97";"shopname97";"skid76";"HostelArea";"Snacks";"lic97"
"shop98";"shopname98";"skid51";"Faculty Quarters";"Repair";"lic98"
"shop99";"shopname99";"skid10";"Admin Block";"Groceries";"lic99"
